ProductID,Year,PLN,units
P001,2025,11196.66,543
P002,2025,3610.8,360
P003,2025,29456.18,818
P004,2025,47776.46,1693
P005,2025,27137.34,321
P006,2025,17076.35,479
P007,2025,15177.6,992
P008,2025,9514.05,1105
P009,2025,39370.8,872
P010,2025,26120.98,1163
P011,2025,14585.36,541
P012,2025,19306.14,1069
P013,2025,15032.0,1879
P014,2025,18814.22,334
P015,2025,50778.0,1240
P016,2025,30866.22,917
P017,2025,30016.0,640
P018,2025,4379.2,391
P019,2025,55281.97,443
P020,2025,44072.16,1964
P021,2025,18926.31,507
P022,2025,20500.68,411
P023,2025,5672.0,709
P024,2025,52172.94,521
P025,2025,21138.03,711
P026,2025,13192.0,1649
P027,2025,13261.4,610
P028,2025,191442.27,867
P029,2025,9079.23,381
P030,2025,20276.2,2069
P031,2025,31865.35,1265
P032,2025,15143.9,398
P033,2025,22124.4,1236
P034,2025,25798.99,1423
P035,2025,59097.6,855
P036,2025,24180.04,454
P037,2025,95725.74,3373
P038,2025,53714.1,1985
P039,2025,52868.22,1662
P040,2025,15710.17,763
P041,2025,22943.19,811
P042,2025,25042.94,793
P043,2025,117944.76,1367
P044,2025,12474.0,1050
P045,2025,24229.8,420
P046,2025,109234.42,1093
P047,2025,41432.36,2764
P048,2025,38045.97,1161
P049,2025,29334.36,852
P050,2025,7900.12,313
P051,2025,5335.88,268
P052,2025,8566.92,636
P053,2025,5488.0,686
P054,2025,36387.2,830
P055,2025,6608.0,826
P056,2025,100874.55,2415
P057,2025,42910.38,758
P058,2025,21851.82,1663
P059,2025,34949.88,804
P060,2025,98824.44,2028
P061,2025,22190.35,455
P062,2025,14436.94,707
P063,2025,56939.52,1536
P064,2025,31355.1,945
P065,2025,23060.65,1483
P066,2025,20121.6,1048
P067,2025,46936.56,1012
P068,2025,28819.16,1516
P069,2025,51748.2,1295
P070,2025,57405.6,1876
P071,2025,26037.99,1089
P072,2025,41496.16,1336
P073,2025,48037.05,1305
P074,2025,13751.13,457
P075,2025,16971.3,519
P076,2025,60066.6,1254
P077,2025,7336.11,291
P078,2025,17152.0,512
P079,2025,10638.2,430
P080,2025,36827.78,946
P081,2025,10667.47,407
P082,2025,115761.62,2362
P083,2025,90626.25,1375
P084,2025,27830.88,2761
P085,2025,115244.8,1408
P086,2025,105834.96,1518
P087,2025,42698.56,2672
P088,2025,101128.95,585
P089,2025,12328.15,361
P090,2025,34010.46,801
P091,2025,54062.28,526
P092,2025,14367.48,804
P093,2025,5860.9,470
P094,2025,27907.86,1247
P095,2025,43678.18,1339
P096,2025,27669.6,720
P097,2025,45424.08,936
P098,2025,87389.82,854
P099,2025,17593.98,1101
P100,2025,8908.74,774
P101,2025,25730.4,710
P102,2025,47174.49,1683
P103,2025,42727.74,1579
P104,2025,13635.54,1329
P105,2025,18632.26,394
P106,2025,22261.59,477
P107,2025,7886.52,342
P108,2025,149247.96,681
P109,2025,10850.25,925
P110,2025,44229.6,720
P111,2025,41662.0,2252
P112,2025,8185.9,545
P113,2025,4838.88,408
P114,2025,60271.12,974
P115,2025,17872.92,988
P116,2025,22013.65,1109
P117,2025,22471.28,1066
P118,2025,40157.4,1020
P119,2025,28391.88,411
P120,2025,20040.84,537
P121,2025,80132.24,1069
P122,2025,52908.6,654
P123,2025,11934.65,559
P124,2025,49326.18,1307
P125,2025,58969.53,1019
P126,2025,17707.2,340
P127,2025,62759.07,1921
P128,2025,94126.1,965
P129,2025,26271.78,1038
P130,2025,8162.75,317
P131,2025,41500.97,1043
P132,2025,30562.56,1137
P133,2025,20735.99,1441
P134,2025,161650.29,2337
P135,2025,49565.11,1577
P136,2025,61126.66,959
P137,2025,45186.0,600
P138,2025,18245.76,1462
P139,2025,23918.62,506
P140,2025,7463.68,343
P141,2025,22095.43,581
P142,2025,67109.71,1343
P143,2025,12461.64,678
P144,2025,27818.6,1835
P145,2025,9020.44,286
P146,2025,9262.8,372
P147,2025,17336.87,809
P148,2025,46920.84,1164
P149,2025,28020.0,1000
P150,2025,49284.7,1094
P151,2025,28673.56,566
P152,2025,7456.68,396
P153,2025,28859.2,1360
P154,2025,18719.75,475
P155,2025,70367.71,1883
P156,2025,25581.08,721
P157,2025,147143.84,1598
P158,2025,78262.2,810
P159,2025,8115.45,885
P160,2025,28169.02,874
P161,2025,7329.33,279
P162,2025,11744.32,784
P163,2025,32376.54,3437
P164,2025,10848.0,1356
P165,2025,12280.68,498
P166,2025,27915.84,1296
P167,2025,43308.87,1221
P168,2025,26260.37,1091
P169,2025,55668.48,1064
P170,2025,61641.0,900
P171,2025,30870.0,1750
P172,2025,12105.54,617
P173,2025,106906.8,1365
P174,2025,24929.52,1596
P175,2025,66976.0,640
P176,2025,93775.5,687
P177,2025,67818.8,2968
P178,2025,22698.56,712
P179,2025,19636.5,494
P180,2025,3922.68,337
P181,2025,187744.7,1382
P182,2025,5160.0,645
P183,2025,13282.08,469
P184,2025,19553.95,871
P185,2025,122269.95,935
P186,2025,12488.7,399
P187,2025,14520.9,1455
P188,2025,59919.6,1380
P189,2025,107703.38,2918
P190,2025,68743.14,893
P191,2025,6512.0,814
P192,2025,122293.5,1995
P193,2025,76106.72,1163
P194,2025,18349.8,1028
P195,2025,8182.72,562
P196,2025,8605.09,481
P197,2025,141936.98,2186
P198,2025,22294.99,419
P199,2025,26803.98,1323
P200,2025,36504.0,650
P201,2025,83284.24,1097
P202,2025,13661.2,595
P203,2025,138197.76,1972
P204,2025,26144.12,1228
P205,2025,96314.8,4370
P206,2025,11713.5,450
P207,2025,27332.94,762
P208,2025,5560.0,695
P209,2025,12752.64,984
P210,2025,22960.0,2870
P211,2025,53187.29,1157
P212,2025,30053.28,408
P213,2025,105392.4,1237
P214,2025,6728.0,841
P215,2025,18590.55,627
P216,2025,16911.96,1443
P217,2025,6731.34,651
P218,2025,13200.48,712
P219,2025,7217.28,672
P220,2025,166074.84,1257
P221,2025,12715.09,1357
P222,2025,12618.34,934
P223,2025,14455.28,581
P224,2025,12916.62,438
P225,2025,18823.24,652
P226,2025,5604.72,484
P227,2025,27349.23,807
P228,2025,86948.55,2505
P229,2025,23870.91,497
P230,2025,16427.36,664
P231,2025,14781.44,256
P232,2025,7493.98,779
P233,2025,23003.1,305
P234,2025,32201.58,601
P235,2025,48685.41,1349
P236,2025,15329.66,382
P237,2025,67337.45,1145
P238,2025,91280.8,1703
P239,2025,26462.3,2045
P240,2025,36037.7,554
P241,2025,21669.12,648
P242,2025,205781.84,3032
P243,2025,31260.96,816
P244,2025,6156.24,454
P245,2025,6182.55,495
P246,2025,27340.66,698
P247,2025,45560.34,709
P248,2025,19627.2,2115
P249,2025,33991.5,1550
P250,2025,27359.0,436
