ProductID,date,inventory_level
P001,2023-01-01,219
P002,2023-01-01,200
P003,2023-01-01,232
P004,2023-01-01,518
P005,2023-01-01,100
P006,2023-01-01,139
P007,2023-01-01,399
P008,2023-01-01,528
P009,2023-01-01,523
P010,2023-01-01,206
P011,2023-01-01,308
P012,2023-01-01,464
P013,2023-01-01,399
P014,2023-01-01,166
P015,2023-01-01,615
P016,2023-01-01,286
P017,2023-01-01,136
P018,2023-01-01,106
P019,2023-01-01,144
P020,2023-01-01,932
P021,2023-01-01,152
P022,2023-01-01,139
P023,2023-01-01,136
P024,2023-01-01,110
P025,2023-01-01,249
P026,2023-01-01,540
P027,2023-01-01,260
P028,2023-01-01,364
P029,2023-01-01,220
P030,2023-01-01,533
P031,2023-01-01,387
P032,2023-01-01,92
P033,2023-01-01,678
P034,2023-01-01,560
P035,2023-01-01,464
P036,2023-01-01,81
P037,2023-01-01,584
P038,2023-01-01,270
P039,2023-01-01,740
P040,2023-01-01,248
P041,2023-01-01,182
P042,2023-01-01,188
P043,2023-01-01,781
P044,2023-01-01,309
P045,2023-01-01,141
P046,2023-01-01,419
P047,2023-01-01,311
P048,2023-01-01,227
P049,2023-01-01,384
P050,2023-01-01,150
P051,2023-01-01,167
P052,2023-01-01,290
P053,2023-01-01,202
P054,2023-01-01,423
P055,2023-01-01,475
P056,2023-01-01,454
P057,2023-01-01,243
P058,2023-01-01,337
P059,2023-01-01,265
P060,2023-01-01,616
P061,2023-01-01,192
P062,2023-01-01,171
P063,2023-01-01,709
P064,2023-01-01,367
P065,2023-01-01,397
P066,2023-01-01,346
P067,2023-01-01,273
P068,2023-01-01,341
P069,2023-01-01,440
P070,2023-01-01,656
P071,2023-01-01,381
P072,2023-01-01,501
P073,2023-01-01,231
P074,2023-01-01,161
P075,2023-01-01,125
P076,2023-01-01,612
P077,2023-01-01,104
P078,2023-01-01,72
P079,2023-01-01,234
P080,2023-01-01,204
P081,2023-01-01,162
P082,2023-01-01,817
P083,2023-01-01,578
P084,2023-01-01,733
P085,2023-01-01,722
P086,2023-01-01,645
P087,2023-01-01,576
P088,2023-01-01,200
P089,2023-01-01,79
P090,2023-01-01,199
P091,2023-01-01,240
P092,2023-01-01,113
P093,2023-01-01,165
P094,2023-01-01,226
P095,2023-01-01,239
P096,2023-01-01,169
P097,2023-01-01,288
P098,2023-01-01,255
P099,2023-01-01,356
P100,2023-01-01,313
P101,2023-01-01,352
P102,2023-01-01,608
P103,2023-01-01,493
P104,2023-01-01,513
P105,2023-01-01,201
P106,2023-01-01,269
P107,2023-01-01,129
P108,2023-01-01,237
P109,2023-01-01,219
P110,2023-01-01,181
P111,2023-01-01,1190
P112,2023-01-01,289
P113,2023-01-01,195
P114,2023-01-01,575
P115,2023-01-01,332
P116,2023-01-01,247
P117,2023-01-01,202
P118,2023-01-01,345
P119,2023-01-01,159
P120,2023-01-01,108
P121,2023-01-01,5
P122,2023-01-01,324
P123,2023-01-01,144
P124,2023-01-01,520
P125,2023-01-01,491
P126,2023-01-01,183
P127,2023-01-01,533
P128,2023-01-01,466
P129,2023-01-01,308
P130,2023-01-01,79
P131,2023-01-01,447
P132,2023-01-01,141
P133,2023-01-01,500
P134,2023-01-01,1096
P135,2023-01-01,598
P136,2023-01-01,377
P137,2023-01-01,358
P138,2023-01-01,574
P139,2023-01-01,103
P140,2023-01-01,77
P141,2023-01-01,132
P142,2023-01-01,687
P143,2023-01-01,237
P144,2023-01-01,938
P145,2023-01-01,104
P146,2023-01-01,154
P147,2023-01-01,329
P148,2023-01-01,677
P149,2023-01-01,284
P150,2023-01-01,279
P151,2023-01-01,272
P152,2023-01-01,104
P153,2023-01-01,605
P154,2023-01-01,108
P155,2023-01-01,308
P156,2023-01-01,217
P157,2023-01-01,626
P158,2023-01-01,165
P159,2023-01-01,385
P160,2023-01-01,466
P161,2023-01-01,129
P162,2023-01-01,159
P163,2023-01-01,989
P164,2023-01-01,621
P165,2023-01-01,241
P166,2023-01-01,411
P167,2023-01-01,271
P168,2023-01-01,410
P169,2023-01-01,292
P170,2023-01-01,325
P171,2023-01-01,395
P172,2023-01-01,462
P173,2023-01-01,624
P174,2023-01-01,269
P175,2023-01-01,331
P176,2023-01-01,322
P177,2023-01-01,775
P178,2023-01-01,201
P179,2023-01-01,196
P180,2023-01-01,117
P181,2023-01-01,304
P182,2023-01-01,325
P183,2023-01-01,147
P184,2023-01-01,428
P185,2023-01-01,322
P186,2023-01-01,132
P187,2023-01-01,574
P188,2023-01-01,627
P189,2023-01-01,1639
P190,2023-01-01,320
P191,2023-01-01,469
P192,2023-01-01,719
P193,2023-01-01,238
P194,2023-01-01,408
P195,2023-01-01,245
P196,2023-01-01,79
P197,2023-01-01,250
P198,2023-01-01,85
P199,2023-01-01,459
P200,2023-01-01,265
P201,2023-01-01,347
P202,2023-01-01,165
P203,2023-01-01,307
P204,2023-01-01,347
P205,2023-01-01,1034
P206,2023-01-01,130
P207,2023-01-01,350
P208,2023-01-01,229
P209,2023-01-01,349
P210,2023-01-01,457
P211,2023-01-01,409
P212,2023-01-01,193
P213,2023-01-01,302
P214,2023-01-01,114
P215,2023-01-01,177
P216,2023-01-01,434
P217,2023-01-01,134
P218,2023-01-01,319
P219,2023-01-01,290
P220,2023-01-01,486
P221,2023-01-01,460
P222,2023-01-01,249
P223,2023-01-01,321
P224,2023-01-01,203
P225,2023-01-01,148
P226,2023-01-01,203
P227,2023-01-01,163
P228,2023-01-01,1035
P229,2023-01-01,235
P230,2023-01-01,157
P231,2023-01-01,139
P232,2023-01-01,362
P233,2023-01-01,132
P234,2023-01-01,109
P235,2023-01-01,471
P236,2023-01-01,135
P237,2023-01-01,163
P238,2023-01-01,605
P239,2023-01-01,969
P240,2023-01-01,112
P241,2023-01-01,254
P242,2023-01-01,766
P243,2023-01-01,269
P244,2023-01-01,274
P245,2023-01-01,243
P246,2023-01-01,180
P247,2023-01-01,321
P248,2023-01-01,750
P249,2023-01-01,463
P250,2023-01-01,127
P001,2023-02-01,172
P002,2023-02-01,171
P003,2023-02-01,170
P004,2023-02-01,407
P005,2023-02-01,69
P006,2023-02-01,104
P007,2023-02-01,298
P008,2023-02-01,295
P009,2023-02-01,434
P010,2023-02-01,120
P011,2023-02-01,241
P012,2023-02-01,394
P013,2023-02-01,241
P014,2023-02-01,136
P015,2023-02-01,493
P016,2023-02-01,221
P017,2023-02-01,89
P018,2023-02-01,72
P019,2023-02-01,109
P020,2023-02-01,763
P021,2023-02-01,101
P022,2023-02-01,100
P023,2023-02-01,86
P024,2023-02-01,61
P025,2023-02-01,174
P026,2023-02-01,371
P027,2023-02-01,227
P028,2023-02-01,281
P029,2023-02-01,192
P030,2023-02-01,383
P031,2023-02-01,312
P032,2023-02-01,59
P033,2023-02-01,584
P034,2023-02-01,438
P035,2023-02-01,382
P036,2023-02-01,49
P037,2023-02-01,0
P038,2023-02-01,229
P039,2023-02-01,559
P040,2023-02-01,46
P041,2023-02-01,142
P042,2023-02-01,164
P043,2023-02-01,637
P044,2023-02-01,247
P045,2023-02-01,89
P046,2023-02-01,334
P047,2023-02-01,0
P048,2023-02-01,87
P049,2023-02-01,303
P050,2023-02-01,119
P051,2023-02-01,127
P052,2023-02-01,239
P053,2023-02-01,134
P054,2023-02-01,358
P055,2023-02-01,386
P056,2023-02-01,0
P057,2023-02-01,164
P058,2023-02-01,218
P059,2023-02-01,178
P060,2023-02-01,476
P061,2023-02-01,157
P062,2023-02-01,127
P063,2023-02-01,592
P064,2023-02-01,305
P065,2023-02-01,293
P066,2023-02-01,220
P067,2023-02-01,152
P068,2023-02-01,61
P069,2023-02-01,350
P070,2023-02-01,480
P071,2023-02-01,237
P072,2023-02-01,352
P073,2023-02-01,130
P074,2023-02-01,111
P075,2023-02-01,78
P076,2023-02-01,501
P077,2023-02-01,72
P078,2023-02-01,0
P079,2023-02-01,200
P080,2023-02-01,156
P081,2023-02-01,119
P082,2023-02-01,646
P083,2023-02-01,458
P084,2023-02-01,649
P085,2023-02-01,528
P086,2023-02-01,546
P087,2023-02-01,348
P088,2023-02-01,151
P089,2023-02-01,47
P090,2023-02-01,153
