"productid","year","p_unit","annual_quantity_units","annual_budget_units","annual_budget","annual_revenue_actual","variance","units_gap"
"P242","2024",67.87,"3481",4018,272701.66,"236255.47","-36446.19","-537"
"P157","2024",92.08,"1574",1912,176056.96,"144933.92","-31123.04","-338"
"P134","2024",69.17,"2452",2811,194436.87,"169604.84","-24832.03","-359"
"P188","2024",43.42,"2010",2454,106552.68,"87274.20","-19278.48","-444"
"P158","2024",96.62,"1012",1204,116330.48,"97779.44","-18551.04","-192"
"P203","2024",70.08,"1714",1961,137426.88,"120117.12","-17309.76","-247"
"P063","2024",37.07,"1623",1930,71545.1,"60164.61","-11380.49","-307"
"P060","2024",48.73,"1931",2127,103648.71,"94097.63","-9551.08","-196"
"P004","2024",28.22,"1583",1920,54182.4,"44672.26","-9510.14","-337"
"P151","2024",50.66,"761",875,44327.5,"38552.26","-5775.24","-114"
