ProductID,date,quantity_sales
P001,2023-01-01,56
P002,2023-01-01,34
P003,2023-01-01,67
P004,2023-01-01,98
P005,2023-01-01,35
P006,2023-01-01,27
P007,2023-01-01,91
P008,2023-01-01,143
P009,2023-01-01,70
P010,2023-01-01,81
P011,2023-01-01,63
P012,2023-01-01,84
P013,2023-01-01,125
P014,2023-01-01,23
P015,2023-01-01,102
P016,2023-01-01,55
P017,2023-01-01,43
P018,2023-01-01,29
P019,2023-01-01,25
P020,2023-01-01,137
P021,2023-01-01,53
P022,2023-01-01,26
P023,2023-01-01,51
P024,2023-01-01,49
P025,2023-01-01,72
P026,2023-01-01,151
P027,2023-01-01,44
P028,2023-01-01,93
P029,2023-01-01,35
P030,2023-01-01,159
P031,2023-01-01,79
P032,2023-01-01,40
P033,2023-01-01,112
P034,2023-01-01,137
P035,2023-01-01,61
P036,2023-01-01,27
P037,2023-01-01,217
P038,2023-01-01,157
P039,2023-01-01,174
P040,2023-01-01,62
P041,2023-01-01,59
P042,2023-01-01,131
P043,2023-01-01,105
P044,2023-01-01,81
P045,2023-01-01,39
P046,2023-01-01,66
P047,2023-01-01,277
P048,2023-01-01,22
P049,2023-01-01,67
P050,2023-01-01,30
P051,2023-01-01,27
P052,2023-01-01,48
P053,2023-01-01,49
P054,2023-01-01,85
P055,2023-01-01,51
P056,2023-01-01,415
P057,2023-01-01,67
P058,2023-01-01,94
P059,2023-01-01,87
P060,2023-01-01,183
P061,2023-01-01,24
P062,2023-01-01,45
P063,2023-01-01,115
P064,2023-01-01,70
P065,2023-01-01,104
P066,2023-01-01,99
P067,2023-01-01,131
P068,2023-01-01,164
P069,2023-01-01,82
P070,2023-01-01,162
P071,2023-01-01,135
P072,2023-01-01,121
P073,2023-01-01,72
P074,2023-01-01,57
P075,2023-01-01,42
P076,2023-01-01,114
P077,2023-01-01,31
P078,2023-01-01,45
P079,2023-01-01,49
P080,2023-01-01,58
P081,2023-01-01,27
P082,2023-01-01,142
P083,2023-01-01,90
P084,2023-01-01,340
P085,2023-01-01,139
P086,2023-01-01,95
P087,2023-01-01,252
P088,2023-01-01,63
P089,2023-01-01,29
P090,2023-01-01,65
P091,2023-01-01,65
P092,2023-01-01,95
P093,2023-01-01,37
P094,2023-01-01,102
P095,2023-01-01,79
P096,2023-01-01,68
P097,2023-01-01,68
P098,2023-01-01,78
P099,2023-01-01,98
P100,2023-01-01,61
P101,2023-01-01,63
P102,2023-01-01,93
P103,2023-01-01,107
P104,2023-01-01,113
P105,2023-01-01,43
P106,2023-01-01,44
P107,2023-01-01,33
P108,2023-01-01,79
P109,2023-01-01,83
P110,2023-01-01,42
P111,2023-01-01,199
P112,2023-01-01,47
P113,2023-01-01,36
P114,2023-01-01,81
P115,2023-01-01,59
P116,2023-01-01,78
P117,2023-01-01,82
P118,2023-01-01,67
P119,2023-01-01,30
P120,2023-01-01,53
P121,2023-01-01,299
P122,2023-01-01,73
P123,2023-01-01,44
P124,2023-01-01,83
P125,2023-01-01,94
P126,2023-01-01,42
P127,2023-01-01,168
P128,2023-01-01,114
P129,2023-01-01,80
P130,2023-01-01,31
P131,2023-01-01,88
P132,2023-01-01,236
P133,2023-01-01,111
P134,2023-01-01,185
P135,2023-01-01,265
P136,2023-01-01,70
P137,2023-01-01,62
P138,2023-01-01,106
P139,2023-01-01,27
P140,2023-01-01,31
P141,2023-01-01,53
P142,2023-01-01,135
P143,2023-01-01,63
P144,2023-01-01,159
P145,2023-01-01,31
P146,2023-01-01,35
P147,2023-01-01,63
P148,2023-01-01,106
P149,2023-01-01,63
P150,2023-01-01,6
P151,2023-01-01,65
P152,2023-01-01,31
P153,2023-01-01,76
P154,2023-01-01,57
P155,2023-01-01,129
P156,2023-01-01,72
P157,2023-01-01,130
P158,2023-01-01,125
P159,2023-01-01,68
P160,2023-01-01,78
P161,2023-01-01,33
P162,2023-01-01,82
P163,2023-01-01,91
P164,2023-01-01,118
P165,2023-01-01,38
P166,2023-01-01,65
P167,2023-01-01,73
P168,2023-01-01,154
P169,2023-01-01,87
P170,2023-01-01,44
P171,2023-01-01,104
P172,2023-01-01,79
P173,2023-01-01,94
P174,2023-01-01,141
P175,2023-01-01,71
P176,2023-01-01,61
P177,2023-01-01,266
P178,2023-01-01,66
P179,2023-01-01,41
P180,2023-01-01,38
P181,2023-01-01,106
P182,2023-01-01,68
P183,2023-01-01,47
P184,2023-01-01,94
P185,2023-01-01,71
P186,2023-01-01,30
P187,2023-01-01,90
P188,2023-01-01,123
P189,2023-01-01,324
P190,2023-01-01,47
P191,2023-01-01,77
P192,2023-01-01,152
P193,2023-01-01,91
P194,2023-01-01,81
P195,2023-01-01,52
P196,2023-01-01,33
P197,2023-01-01,345
P198,2023-01-01,34
P199,2023-01-01,103
P200,2023-01-01,46
P201,2023-01-01,70
P202,2023-01-01,80
P203,2023-01-01,151
P204,2023-01-01,78
P205,2023-01-01,200
P206,2023-01-01,35
P207,2023-01-01,102
P208,2023-01-01,79
P209,2023-01-01,71
P210,2023-01-01,120
P211,2023-01-01,88
P212,2023-01-01,30
P213,2023-01-01,100
P214,2023-01-01,77
P215,2023-01-01,54
P216,2023-01-01,99
P217,2023-01-01,38
P218,2023-01-01,71
P219,2023-01-01,77
P220,2023-01-01,120
P221,2023-01-01,118
P222,2023-01-01,68
P223,2023-01-01,41
P224,2023-01-01,51
P225,2023-01-01,89
P226,2023-01-01,48
P227,2023-01-01,58
P228,2023-01-01,218
P229,2023-01-01,55
P230,2023-01-01,47
P231,2023-01-01,23
P232,2023-01-01,56
P233,2023-01-01,30
P234,2023-01-01,37
P235,2023-01-01,168
P236,2023-01-01,27
P237,2023-01-01,90
P238,2023-01-01,141
P239,2023-01-01,142
P240,2023-01-01,33
P241,2023-01-01,44
P242,2023-01-01,205
P243,2023-01-01,86
P244,2023-01-01,46
P245,2023-01-01,40
P246,2023-01-01,66
P247,2023-01-01,56
P248,2023-01-01,124
P249,2023-01-01,124
P250,2023-01-01,30
P001,2023-02-01,47
P002,2023-02-01,29
P003,2023-02-01,62
P004,2023-02-01,111
P005,2023-02-01,31
P006,2023-02-01,35
P007,2023-02-01,101
P008,2023-02-01,233
P009,2023-02-01,89
P010,2023-02-01,86
P011,2023-02-01,67
P012,2023-02-01,70
P013,2023-02-01,158
P014,2023-02-01,30
P015,2023-02-01,122
P016,2023-02-01,65
P017,2023-02-01,47
P018,2023-02-01,34
P019,2023-02-01,35
P020,2023-02-01,169
P021,2023-02-01,51
P022,2023-02-01,39
P023,2023-02-01,50
P024,2023-02-01,49
P025,2023-02-01,75
P026,2023-02-01,169
P027,2023-02-01,33
P028,2023-02-01,83
P029,2023-02-01,28
P030,2023-02-01,150
P031,2023-02-01,75
P032,2023-02-01,33
P033,2023-02-01,94
P034,2023-02-01,122
P035,2023-02-01,82
P036,2023-02-01,32
P037,2023-02-01,584
P038,2023-02-01,41
P039,2023-02-01,181
P040,2023-02-01,202
P041,2023-02-01,40
P042,2023-02-01,24
P043,2023-02-01,144
P044,2023-02-01,62
P045,2023-02-01,52
P046,2023-02-01,85
P047,2023-02-01,311
P048,2023-02-01,140
P049,2023-02-01,81
P050,2023-02-01,31
P051,2023-02-01,40
P052,2023-02-01,51
P053,2023-02-01,68
P054,2023-02-01,65
P055,2023-02-01,89
P056,2023-02-01,454
P057,2023-02-01,79
P058,2023-02-01,119
P059,2023-02-01,87
P060,2023-02-01,140
P061,2023-02-01,35
P062,2023-02-01,44
P063,2023-02-01,117
P064,2023-02-01,62
P065,2023-02-01,104
P066,2023-02-01,126
P067,2023-02-01,121
P068,2023-02-01,280
P069,2023-02-01,90
P070,2023-02-01,176
P071,2023-02-01,144
P072,2023-02-01,149
P073,2023-02-01,101
P074,2023-02-01,50
P075,2023-02-01,47
P076,2023-02-01,111
P077,2023-02-01,32
P078,2023-02-01,72
P079,2023-02-01,34
P080,2023-02-01,48
P081,2023-02-01,43
P082,2023-02-01,171
P083,2023-02-01,120
P084,2023-02-01,84
P085,2023-02-01,194
P086,2023-02-01,99
P087,2023-02-01,228
P088,2023-02-01,49
P089,2023-02-01,32
P090,2023-02-01,46
P091,2023-02-01,115
P092,2023-02-01,103
P093,2023-02-01,35
P094,2023-02-01,85
P095,2023-02-01,98
P096,2023-02-01,59
P097,2023-02-01,60
P098,2023-02-01,74
P099,2023-02-01,356
P100,2023-02-01,58
P101,2023-02-01,47
P102,2023-02-01,268
P103,2023-02-01,108
P104,2023-02-01,123
P105,2023-02-01,36
P106,2023-02-01,48
P107,2023-02-01,40
P108,2023-02-01,39
P109,2023-02-01,104
P110,2023-02-01,56
P111,2023-02-01,135
P112,2023-02-01,66
P113,2023-02-01,35
P114,2023-02-01,69
P115,2023-02-01,73
P116,2023-02-01,92
P117,2023-02-01,79
P118,2023-02-01,83
P119,2023-02-01,23
P120,2023-02-01,55
P121,2023-02-01,37
P122,2023-02-01,39
P123,2023-02-01,37
P124,2023-02-01,68
P125,2023-02-01,107
P126,2023-02-01,48
P127,2023-02-01,162
P128,2023-02-01,76
